YSymbol	isin	name	qscore	qscorePerf	REVPS5YGR	MARGIN5YR	PER	Rendement	L%H	ChPctPrice5Y	YLD+PRY
8473.T	JP3436120004	SBI HOLDINGS INC	57	100	25,955	16,842	9,760	4,442	0,821	21,540	25,982
7187.T	JP3386590008	J LEASE CO LTD	52	100	20,700	12,779	12,113	2,712	0,649	36,094	38,806
6417.T	JP3326410002	SANKYO CO LTD	61	100	32,919	25,882	9,935	4,181	0,657	36,935	41,116
8381.T	JP3324000003	SAN-IN GODO BANK LTD	42	100	7,217	14,385	11,670	3,859	0,776	20,167	24,026
8367.T	JP3653400006	NANTO BANK LTD	60	100	4,136	13,329	11,507	3,687	0,853	21,114	24,802
5830.T	JP3149700001	IYOGIN HOLDINGS INC	48	100	10,586	23,170	9,310	2,446	0,851	46,413	48,859
7175.T	JP3149120002	IMAMURA SECURITIES CO LTD	96	100	5,695	20,279	9,134	4,576	0,595	12,829	17,404
6249.T	JP3282270002	GAMECARD JOYCO HOLDINGS INC	82	100	17,411	17,227	8,158	2,061	0,823	20,684	22,745
8359.T	JP3769000005	HACHIJUNI BANK LTD	68	100	7,600	18,030	12,964	3,332	0,849	30,671	34,004
8334.T	JP3276400003	GUNMA BANK LTD	49	100	6,411	18,197	12,871	3,360	0,854	36,930	40,290
6627.T	JP3546550009	TERA PROBE INC	70	100	17,114	15,133	16,558	2,096	0,957	50,234	52,329
8341.T	JP3352000008	77 BANK LTD	59	100	7,258	19,871	10,705	3,564	0,839	32,984	36,548
1662.T	JP3421100003	JAPAN PETROLEUM EXPLORATION CO LTD	96	100	6,237	11,294	3,786	4,801	0,804	30,652	35,453
7841.T	JP3169700006	ENDO MANUFACTURING CO LTD	83	100	12,198	6,113	11,779	2,461	0,614	24,170	26,632
6419.T	JP3860220007	MARS GROUP HOLDINGS CORP	99	100	11,286	17,909	7,966	3,943	0,407	13,523	17,466
7080.T	JP3400030007	SPORTSFIELD CO LTD	52	100	13,471	10,986	8,910	1,400	0,682	25,694	27,094
4365.T	JP3869100002	MATSUMOTO YUSHI-SEIYAKU CO LTD	78	99	8,912	16,101	10,136	2,513	0,651	20,686	23,200
5423.T	JP3579800008	TOKYO STEEL MANUFACTURING CO LTD	89	99	17,726	8,029	8,290	2,730	0,026	16,901	19,631
9110.T	JP3385000009	NS UNITED KAIUN KAISHA LTD	100	99	10,762	8,813	6,429	6,375	0,781	29,115	35,490
8411.T	JP3885780001	MIZUHO FINANCIAL GROUP INC	64	99	8,935	17,251	13,535	3,995	0,853	30,006	34,000
8316.T	JP3890350006	SUMITOMO MITSUI FINANCIAL GROUP INC	67	99	7,258	19,323	13,132	3,808	0,837	33,070	36,878
4972.T	JP3431550007	SOKEN CHEMICAL & ENGINEERING	94	99	10,554	6,698	8,884	3,826	0,947	23,623	27,449
6941.T	JP3934200001	YAMAICHI ELECTRONICS CO LTD	57	99	12,356	12,197	14,587	3,606	0,879	22,955	26,560
6061.T	JP3952300006	UNIVERSAL ENGEISHA CO LTD	42	99	18,368	9,788	14,734	0,718	0,766	26,405	27,124
8331.T	JP3511800009	CHIBA BANK LTD	52	99	5,987	25,040	13,904	2,860	0,781	22,885	25,745
6489.T	JP3860400005	MAEZAWA INDUSTRIES INC	89	99	6,119	8,204	10,072	3,257	0,614	32,878	36,135
2674.T	JP3765120005	HARD OFF CORPORATION CO LTD	97	99	10,952	5,493	11,526	4,430	0,545	22,387	26,817
9628.T	JP3286300003	SAN HOLDINGS INC	88	99	10,489	11,720	6,204	2,507	0,655	20,366	22,873
3445.T	JP3100350002	RS TECHNOLOGIES CO LTD	73	99	18,930	20,603	10,231	0,631	0,766	16,269	16,900
5184.T	JP3665000000	NICHIRIN CO LTD	96	99	4,622	9,545	9,151	4,562	0,791	22,221	26,783
1972.T	JP3330800008	SANKO METAL INDUSTRIAL CO LTD	96	99	5,941	5,763	9,031	5,132	0,737	23,978	29,110
7164.T	JP3429250008	ZENKOKU HOSHO CO LTD	49	98	5,041	56,468	13,395	2,976	0,607	9,315	12,291
3261.T	JP3274040009	GRANDES INC	55	98	11,364	4,745	31,603	2,735	0,483	21,658	24,393
7595.T	JP3126110000	ARGO GRAPHICS INC	47	98	7,661	10,587	16,157	2,041	0,783	10,569	12,610
5644.T	JP3920900002	METALART CORP	83	98	7,449	5,862	5,778	3,354	0,879	29,299	32,654
7292.T	JP3914200005	MURAKAMI CORP	86	98	9,186	6,367	12,294	2,898	0,818	21,778	24,676
3836.T	JP3548680002	AVANT GROUP CORP	45	98	13,131	11,291	16,166	1,121	0,068	6,491	7,611
1828.T	JP3468900000	TANABE ENGINEERING CORP	91	98	6,600	4,318	9,319	3,838	0,695	25,217	29,055
7050.T	JP3829520000	FRONTIER INTERNATIONAL INC	85	98	10,044	5,569	10,784	3,042	0,750	11,245	14,287
6272.T	JP3979400003	RHEON AUTOMATIC MACHINERY CO LTD	83	98	7,775	8,319	10,550	2,374	0,811	6,802	9,177
4507.T	JP3347200002	SHIONOGI & CO LTD	43	98	7,457	38,301	11,799	2,068	0,612	8,426	10,493
4792.T	JP3588100002	YAMADA CONSULTING GROUP CO LTD	59	98	10,799	12,230	17,358	3,922	0,466	12,514	16,436
5816.T	JP3172800009	ONAMBA CO LTD	94	98	5,115	4,139	9,192	3,959	0,724	23,788	27,747
8117.T	JP3515400004	CENTRAL AUTOMOTIVE PRODUCTS LTD	52	98	9,548	17,972	11,308	2,727	0,695	21,913	24,640
9824.T	JP3424400004	SENSHU ELECTRIC CO LTD	72	98	12,684	4,603	10,839	2,646	0,402	24,422	27,067
6333.T	JP3541800003	TEIKOKU ELECTRIC MFG. CO LTD	65	98	8,028	12,214	13,311	3,732	0,609	25,481	29,212
6915.T	JP3528450004	CHIYODA INTEGRE CO LTD	94	97	5,417	5,973	12,670	4,892	0,600	15,533	20,426
6870.T	JP3749100008	FENWAL CONTROLS OF JAPAN LTD	96	97	4,749	5,594	8,894	4,544	0,645	3,600	8,143
3355.T	JP3270810009	KURIYAMA HOLDINGS CORP	100	97	7,033	4,912	7,832	3,414	0,940	23,003	26,416
7378.T	JP3118600000	ASIRO INC	54	97	31,321	6,479	9,876	1,819	0,232	8,320	10,140
9308.T	JP3146800002	INUI GLOBAL LOGISTICS CO LTD	95	97	7,654	16,504	9,121	6,958	0,779	12,332	19,289
2767.T	JP3802680003	TSUBURAYA FIELDS HOLDINGS INC	66	97	17,493	6,633	9,743	2,160	0,855	70,185	72,345
7483.T	JP3638000004	DOSHISHA CO LTD	98	97	4,473	5,709	13,885	3,489	0,915	8,592	12,080
5445.T	JP3584600005	TOKYO TEKKO CO LTD	97	97	8,310	6,114	4,812	5,294	0,508	24,617	29,911
6104.T	JP3592600005	SHIBAURA MACHINE CO LTD	92	97	7,884	5,792	9,446	3,243	0,820	15,117	18,360
6932.T	JP3169600008	ENDO LIGHTING CORP	90	97	6,527	7,490	6,320	2,884	0,806	30,660	33,544
4752.T	JP3366900003	SHOWA SYSTEM ENGINEERING CORP	89	97	6,562	7,443	9,549	3,865	0,973	15,992	19,857
7634.T	JP3845750003	HOSHI IRYO-SANKI CO LTD	80	97	7,779	9,189	10,052	1,423	0,722	6,091	7,515
6349.T	JP3305800009	KOMORI CORP	94	97	8,813	4,616	11,146	4,452	0,816	17,404	21,856
4231.T	JP3440800005	TIGERS POLYMER CORP	95	97	4,561	4,682	5,711	4,143	0,875	18,192	22,336
2349.T	JP3164610002	NIPPON INFORMATION DEVELOPMENT CO LTD	77	97	7,571	9,315	10,684	1,354	0,205	11,139	12,493
6091.T	JP3154650000	WESCO HOLDINGS INC	82	96	5,032	4,910	15,256	3,485	0,752	15,371	18,856
5982.T	JP3875610002	MARUZEN CO LTD	85	96	4,202	5,897	11,899	3,100	0,665	15,871	18,972
6643.T	JP3623400003	TOGAMI ELECTRIC MFG CO LTD	95	96	4,548	6,896	8,127	4,150	0,686	18,077	22,227
2153.T	JP3130480001	E J HOLDINGS INC	93	96	4,018	8,063	8,281	3,539	0,591	9,934	13,472
6809.T	JP3538600002	TOA CORP (HYOGO)	82	96	4,824	4,676	15,481	3,504	0,953	8,665	12,170
6371.T	JP3535400000	TSUBAKIMOTO CHAIN CO	98	96	5,924	6,470	10,596	3,622	0,711	21,126	24,748
6357.T	JP3334800004	SANSEI TECHNOLOGIES INC	90	96	6,254	4,119	12,034	4,036	0,816	27,923	31,960
1799.T	JP3474610007	DAIICHI KENSETSU CORP	87	96	5,615	6,612	10,936	3,650	0,799	12,383	16,033
1515.T	JP3680800004	NITTETSU MINING CO LTD	76	96	11,050	5,504	16,993	3,574	0,750	31,476	35,049
9658.T	JP3800300000	BUSINESS BRAIN SHOWA-OTA INC	79	96	6,751	12,921	11,847	2,697	0,852	12,483	15,180
9845.T	JP3780000000	PARKER CORP	89	96	7,222	4,833	8,238	2,724	0,673	20,863	23,586
6874.T	JP3253850006	KYORITSU ELECTRIC CORPORATION	89	96	3,593	4,737	9,241	2,705	0,865	19,898	22,603
5971.T	JP3254850005	KYOWAKOGYOSYO CO LTD	44	96	5,775	9,006	10,432	1,747	0,735	14,485	16,232
6459.T	JP3505800007	DAIWA INDUSTRIES LTD	74	96	4,359	10,002	14,873	2,466	0,480	11,329	13,795
1976.T	JP3918200001	MEISEI INDUSTRIAL CO LTD	88	96	5,955	9,985	9,643	4,210	0,834	14,345	18,555
4526.T	JP3972600005	RIKEN VITAMIN CO LTD	86	95	4,521	10,296	9,554	3,232	0,732	12,885	16,118
8725.T	JP3890310000	MS&AD INSURANCE GROUP HOLDINGS INC	67	95	8,956	6,153	7,305	3,792	0,707	28,090	31,882
6637.T	JP3546100003	TERASAKI ELECTRIC CO LTD	78	95	8,975	6,344	11,120	1,455	0,735	28,118	29,572
9768.T	JP3380200000	IDEA CONSULTANTS INC	82	95	4,366	8,983	11,110	2,850	0,864	11,549	14,399
6804.T	JP3845800006	HOSIDEN CORP	79	95	5,804	4,771	17,618	3,606	0,840	20,801	24,407
3865.T	JP3841800000	HOKUETSU CORP	92	95	5,006	4,908	10,416	1,639	0,014	22,450	24,089
3106.T	JP3268800004	KURABO INDUSTRIES LTD	81	95	4,797	4,085	9,707	3,067	0,574	29,753	32,820
5451.T	JP3959400007	YODOGAWA STEEL WORKS LTD	82	95	6,673	5,254	13,682	4,679	0,694	26,992	31,671
7040.T	JP3342700006	SUN LIFE HOLDING CO LTD	55	95	3,978	4,647	6,946	3,612	0,642	4,032	7,644
4318.T	JP3266000003	QUICK CO LTD	59	95	9,253	10,592	13,668	3,824	0,884	18,389	22,212
5410.T	JP3307800007	GODO STEEL LTD	100	95	4,082	4,224	4,919	4,945	0,542	15,125	20,071
4958.T	JP3768500005	T.HASEGAWA CO LTD	57	95	7,457	11,083	16,361	2,034	0,298	6,471	8,505
3150.T	JP3952860009	GREMZ INC	46	95	16,338	10,090	11,927	1,608	0,478	5,994	7,602
6393.T	JP3948000009	YUKEN KOGYO CO LTD	100	95	6,513	5,013	8,935	4,879	0,794	14,717	19,597
9621.T	JP3281900005	CTI ENGINEERING CO LTD	72	95	9,704	6,875	13,870	2,764	0,630	24,230	26,995
7846.T	JP3780610006	PILOT CORP	58	95	4,193	12,667	13,046	1,994	0,725	9,829	11,823
5351.T	JP3353200003	SHINAGAWA REFRACTORIES CO LTD	79	94	4,400	7,141	9,668	4,395	0,775	33,737	38,131
8935.T	JP3166930002	FJ NEXT CO LTD	95	94	5,767	6,599	6,350	4,135	0,729	10,646	14,781
7296.T	JP3166900005	F.C.C. CO LTD	90	94	8,760	4,985	9,166	2,935	0,659	8,747	11,683
4333.T	JP3601600004	TOHO SYSTEM SCIENCE CO LTD	53	94	8,082	6,738	16,043	3,307	0,225	13,103	16,410
6448.T	JP3830000000	BROTHER INDUSTRIES LTD	91	94	6,940	5,488	13,017	3,084	0,378	8,735	11,818
3297.T	JP3597200009	TOUBUJYUHAN CO LTD	92	94	3,602	4,463	9,068	3,297	0,347	4,720	8,017
4216.T	JP3117200000	ASAHI YUKIZAI CORP	76	94	8,672	9,906	11,700	2,504	0,789	27,012	29,516
6484.T	JP3277250001	KVK CORP	90	94	4,070	6,839	7,619	3,011	0,829	4,574	7,585
7607.T	JP3384710004	SHINWA CO LTD	90	94	4,100	4,575	12,183	3,766	0,800	11,453	15,219
7270.T	JP3814800003	SUBARU CORP	91	94	7,799	5,709	7,262	3,147	0,874	8,868	12,015
7864.T	JP3813800004	FUJI SEAL INTERNATIONAL INC	90	94	6,624	4,729	11,407	2,221	0,549	7,032	9,254
9856.T	JP3277300004	KU HOLDINGS CO LTD	97	94	8,865	4,056	6,559	4,900	0,837	8,541	13,441
9066.T	JP3674400001	NISSIN CORP	70	94	4,999	4,421	18,838	4,017	0,960	40,446	44,463
3440.T	JP3679830004	NISSO PRONITY CO LTD	99	94	5,348	6,972	5,419	3,011	0,805	8,702	11,713
4685.T	JP3976500003	RYOYU SYSTEMS CO LTD	56	94	5,151	6,433	12,317	3,030	0,642	30,938	33,968
7988.T	JP3756200006	NIFCO INC	45	93	6,206	8,193	9,372	1,765	0,933	7,433	9,198
6863.T	JP3756400002	NIRECO CORP	88	93	3,873	9,353	9,490	3,990	0,628	19,120	23,111
7228.T	JP3548650005	DAYTONA CORP	79	93	10,689	9,130	8,370	3,188	0,858	16,016	19,204
6420.T	JP3805150004	FUKUSHIMA GALILEI CO LTD	66	93	8,530	8,975	11,942	1,779	0,845	12,547	14,326
9702.T	JP3100700008	ISB CORP	75	93	6,133	4,821	12,320	2,957	0,957	6,036	8,993
6351.T	JP3536200003	TSURUMI MANUFACTURING CO LTD	62	93	8,822	11,647	12,811	1,641	0,678	18,071	19,712
6855.T	JP3735300000	JAPAN ELECTRONIC MATERIALS CORP	48	93	4,978	12,025	12,988	1,978	0,933	16,493	18,471
4826.T	JP3346170008	COMPUTER INSTITUTE OF JAPAN LTD	48	93	6,315	4,670	17,840	2,693	0,669	11,738	14,431
5930.T	JP3831600006	BUNKA SHUTTER CO LTD	77	93	7,234	4,663	12,515	3,712	0,450	21,595	25,307
9687.T	JP3294000009	KSK CO LTD	53	92	6,221	8,040	12,663	3,209	0,942	15,098	18,307
9301.T	JP3902000003	MITSUBISHI LOGISTICS CORP	65	92	7,611	11,134	10,909	2,636	0,643	16,241	18,877
7976.T	JP3895600009	MITSUBISHI PENCIL CO LTD	60	92	8,195	11,147	15,534	2,129	0,271	9,968	12,097
6466.T	JP3558810002	TVE CO LTD	79	92	5,817	4,608	12,742	2,226	0,780	6,545	8,771
7500.T	JP3657530006	NISHIKAWA KEISOKU CO LTD	58	92	3,969	5,563	14,456	2,873	0,635	21,922	24,794
7419.T	JP3761600000	NOJIMA CORP	68	92	10,366	4,658	10,654	1,854	0,858	22,082	23,936
6824.T	JP3376400002	NEW COSMOS ELECTRIC CO LTD	74	92	8,720	10,139	12,775	1,963	0,810	15,551	17,514
6136.T	JP3170800001	OSG CORP	79	92	3,833	9,320	15,893	2,626	0,927	6,699	9,325
6378.T	JP3242000002	KIMURA CHEMICAL PLANTS CO LTD	80	92	4,964	6,874	12,867	2,700	0,843	17,900	20,599
4957.T	JP3932900008	YASUHARA CHEMICAL CO LTD	80	92	6,212	5,845	7,301	1,797	0,613	11,386	13,183
9651.T	JP3749300004	JAPAN PROCESS DEVELOPMENT CO LTD	61	92	6,271	8,926	10,998	3,655	0,908	17,234	20,889
6856.T	JP3853000002	HORIBA LTD	50	92	9,715	11,049	14,915	2,634	0,883	20,381	23,015
4674.T	JP3271100004	CRESCO LTD	47	92	8,963	7,103	15,442	2,700	0,785	22,245	24,946
5333.T	JP3695200000	NGK INSULATORS LTD	74	92	8,730	9,582	11,974	2,860	0,924	9,992	12,852
7727.T	JP3173200001	OVAL CORP	79	92	4,831	4,961	10,878	2,613	0,827	21,976	24,588
8227.T	JP3358200008	SHIMAMURA CO LTD	62	91	4,980	5,955	16,505	2,037	0,493	11,939	13,976
8130.T	JP3330000005	SANGETSU CORP	72	91	5,156	5,339	13,569	4,475	0,608	14,719	19,193
9068.T	JP3876000005	MARUZEN SHOWA UNYU CO LTD	72	91	3,635	6,494	13,513	2,731	0,652	16,991	19,722
3771.T	JP3351070002	SYSTEM RESEARCH CO LTD	45	91	9,965	7,934	15,135	3,057	0,830	20,647	23,704
5393.T	JP3660400007	NICHIAS CORP	72	91	4,531	9,837	12,070	2,769	0,730	19,461	22,230
4362.T	JP3720000003	NIPPON FINE CHEMICAL CO LTD	60	91	5,323	10,563	13,667	2,662	0,662	10,933	13,595
7817.T	JP3781620004	PARAMOUNT BED HOLDINGS CO LTD	45	91	6,605	9,494	23,578	2,777	0,869	11,126	13,903
7605.T	JP3812300006	FUJI CORP (MIYAGI)	57	91	7,542	8,173	11,150	1,780	0,984	22,128	23,908
2670.T	JP3152740001	ABC-MART INC	55	91	6,445	10,395	14,574	2,688	0,160	9,547	12,235
6144.T	JP3416600009	SEIBU ELECTRIC & MACHINERY CO LTD	81	91	7,093	6,708	12,893	3,007	0,710	11,016	14,023
7313.T	JP3539230007	TS TECH CO LTD	56	91	7,356	4,110	32,394	3,765	0,775	4,311	8,076
5357.T	JP3953600008	YOTAI REFRACTORIES CO LTD	76	91	5,466	10,492	14,759	4,015	0,645	16,687	20,702
4401.T	JP3114800000	ADEKA CORP	78	91	6,243	6,452	13,316	2,897	0,895	19,685	22,583
6381.T	JP3122450004	ANEST IWATA CORP	71	91	7,999	10,144	14,750	3,468	0,848	13,107	16,575
6436.T	JP3124400007	AMANO CORP	48	91	6,667	8,614	16,711	3,676	0,589	10,477	14,153
6652.T	JP3138800002	IDEC CORP	58	91	4,329	7,723	35,950	4,023	0,514	5,362	9,385
3221.T	JP3957600004	YOSSIX CO LTD	54	91	4,403	6,445	14,922	0,725	0,124	8,842	9,568
1926.T	JP3965800000	RAITO KOGYO CO LTD	65	91	5,091	7,862	13,753	3,258	0,792	16,246	19,504
4641.T	JP3126350002	ALTECH CORP	59	91	7,621	7,890	13,287	3,719	0,477	7,092	10,811
6113.T	JP3122800000	AMADA CO LTD	41	91	6,037	8,944	21,207	3,541	0,910	14,800	18,341
6670.T	JP3167420003	MCJ CO LTD	81	91	6,122	5,830	9,895	3,169	0,681	7,468	10,638
4493.T	JP3311590008	CYBER SECURITY CLOUD INC	8	0	35,127	13,213	34,236	0,027	0,563	-16,926	-16,898
7069.T	JP3311580009	CYBERBUZZ INC	17	0	18,317	-6,632	24,289	0,000	0,298	-22,785	-22,785
4892.T	JP3311800001	CYFUSE BIOMEDICAL KK	14	0	0,000	0,000		0,000	0,188	-30,467	-30,467
7779.T	JP3311530004	CYBERDYNE INC	26	0	20,044	-20,801	-420,000	0,000	0,553	-24,087	-24,087
4751.T	JP3311400000	CYBERAGENT INC	22	0	11,415	4,497	36,266	0,945	0,720	0,707	1,652
4412.T	JP3310370006	SCIENCE ARTS INC	8	0	43,647	-9,095	331,653	0,000	0,950	-23,087	-23,087
7984.T	JP3297000006	KOKUYO CO LTD	49	0	1,959	5,140	19,403	2,848	0,713	19,530	22,378
9024.T	JP3417200007	SEIBU HOLDINGS INC	6	0	11,814	11,193	6,073	0,992	0,923	39,014	40,006
8281.T	JP3428800001	XEBIO HOLDINGS CO LTD	83	0	2,662	1,172	12,355	2,924	0,123	10,000	12,924
8871.T	JP3306800008	GOLDCREST CO LTD	63	0	-2,230	19,140	17,259	3,657	0,576	19,897	23,554
8111.T	JP3306600002	GOLDWIN INC	23	0	6,445	16,881	14,406	1,295	0,313	-0,917	0,378
2157.T	JP3297360004	KOSHIDAKA HOLDINGS CO LTD	30	0	8,087	7,558	22,865	0,882	0,780	27,673	28,555
7186.T	JP3305990008	CONCORDIA FINANCIAL GROUP LTD	30	0	3,918	19,131	14,533	3,338	0,831	26,539	29,876
9766.T	JP3300200007	KONAMI HOLDINGS CORP	6	0	10,205	15,335	40,173	1,279	0,708	40,246	41,525
4902.T	JP3300600008	KONICA MINOLTA INC	88	0	2,519	-4,542	11,324	2,608	0,459	14,169	16,776
2222.T	JP3299600001	KOTOBUKI SPIRITS CO LTD	14	0	9,898	12,945	23,228	0,960	0,034	13,133	14,093
4956.T	JP3300800004	KONISHI CO LTD	85	0	1,761	6,015	10,417	2,419	0,667	10,611	13,031
7059.T	JP3302000009	COPRO-HOLDINGS CO LTD	31	0	17,868	5,924	22,410	3,093	0,851	24,741	27,834
4496.T	JP3302400001	COMMERCE ONE HOLDINGS INC	35	0	11,429	11,543	39,996	0,606	0,579	-22,263	-21,657
9973.T	JP3298800008	KOZOSUSHI CO LTD	6	0	-8,425	-4,791		0,000	0,206	-14,327	-14,327
3668.T	JP3305960001	COLOPL INC	53	0	-7,794	7,762	771,667	2,997	0,406	-12,469	-9,473
1969.T	JP3455200000	TAKASAGO THERMAL ENGINEERING CO LTD	31	0	4,911	4,966	15,761	2,906	0,792	41,731	44,637
6301.T	JP3304200003	KOMATSU LTD	47	0	11,313	9,428	11,683	3,468	0,922	17,166	20,634
1721.T	JP3305530002	COMSYS HOLDINGS CORP	72	0	3,429	4,728	14,178	3,280	0,912	6,734	10,014
7513.T	JP3297380002	KOJIMA CO LTD	63	0	-0,317	16,430	17,904	0,000	0,388	9,527	9,527
8218.T	JP3305600003	KOMERI CO LTD	96	0	2,981	4,380	10,384	1,641	0,425	0,130	1,771
6460.T	JP3419050004	SEGA SAMMY HOLDINGS INC	40	0	4,987	8,647	37,737	2,055	0,449	18,257	20,312
4113.T	JP3452400009	TAOKA CHEMICAL CO LTD	97	0	3,119	4,761	11,509	2,181	0,680	-11,965	-9,785
146A.T	JP3305940003	COLUMBIA WORKS INC	29	0	0,000	0,000	11,483	1,469	0,929	36,022	37,491
3349.T	JP3298400007	COSMOS PHARMACEUTICAL CORP	6	0	8,108	3,023	21,778	0,718	0,585	-1,381	-0,664
3436.T	JP3322930003	SUMCO CORP	31	0	2,123	13,251	56,036	2,328	0,892	1,161	3,489
	JP3322980008	SAMTY HOLDINGS CO LTD	39	0	7,472	8,625	16,777	4,048	0,991		0,000
4887.T	JP3323040000	SAWAI GROUP HOLDINGS CO LTD	30	0	1,825	-0,475	274,628	2,667	0,477	2,099	4,767
4626.T	JP3449100001	TAIYO HOLDINGS CO LTD	36	0	11,402	10,485	38,967	2,820	0,850	23,435	26,255
2659.T	JP3324500002	SAN-A CO LTD	71	0	4,232	4,082	14,434	1,967	0,084	4,429	6,396
4234.T	JP3324600000	SUN A. KAKEN CO LTD	60	0	1,191	2,100	21,404	3,407	0,612	1,544	4,951
215A.T	JP3449040009	TIMEE INC	4	0	0,000	0,000	29,639	0,000	0,286	-3,825	-3,825
8018.T	JP3328000009	SANKYO SEIKO CO LTD	71	0	1,670	10,177	12,200	3,957	0,583	9,555	13,512
4176.T	JP3297320008	COCONALA INC	15	0	38,517	-3,356	39,232	0,000	0,803	-27,506	-27,506
6964.T	JP3330400007	SANKO CO LTD	52	0	3,062	3,660	9,172	2,919	0,588	5,002	7,921
3435.T	JP3330500004	SANKO TECHNO CO LTD	89	0	3,518	6,427	9,208	2,785	0,564	6,775	9,559
4548.T	JP3414000004	SEIKAGAKU CORP	70	0	7,280	7,943	25,522	2,887	0,196	-7,230	-4,344
7922.T	JP3331000004	SANKO SANGYO CO LTD	61	0	-6,077	0,084	21,427	1,923	0,752	6,951	8,874
4443.T	JP3332540008	SANSAN INC	2	0	25,773	1,586	220,212	0,000	0,181	0,785	0,785
6882.T	JP3332600000	SANSHA ELECTRIC MANUFACTURING CO LTD	70	0	4,306	5,009	114,712	2,968	0,588	8,653	11,621
5233.T	JP3449020001	TAIHEIYO CEMENT CORP	75	0	1,651	3,577	8,633	2,360	0,542	8,569	10,928
8150.T	JP3333200008	SANSHIN ELECTRONICS CO LTD	98	0	14,941	2,056	8,365	4,842	0,836	5,946	10,787
1898.T	JP3414600001	SEIKITOKYU KOGYO CO LTD	73	0	6,877	3,570	12,677	4,773	0,484	13,677	18,451
4776.T	JP3312100005	CYBOZU INC	2	0	16,439	7,275	27,459	0,672	0,538	1,073	1,745
4256.T	JP3312160009	CYND CO LTD	20	0	31,323	9,484	53,740	0,000	0,330	-23,675	-23,675
6358.T	JP3313200002	SAKAI HEAVY INDUSTRIES LTD	74	0	4,215	4,995	20,879	4,584	0,383	11,454	16,038
197A.T	JP3452250008	TAUNS LABORATORIES INC	63	0	0,000	0,000	9,414	3,267	0,422	26,038	29,304
1377.T	JP3315000004	SAKATA SEED CORP	52	0	9,021	13,857	13,674	1,473	0,719	-0,444	1,029
6223.T	JP3415750003	SEIBU GIKEN CO LTD	91	0	0,000	0,000	9,935	4,174	0,553	-18,683	-14,509
9003.T	JP3316400005	SOTETSU HOLDINGS INC	25	0	1,977	2,727	13,097	1,420	0,818	0,155	1,575
9213.T	JP3415700008	SEYFERT LTD	65	0	-4,039	4,295	60,304	3,891	0,141	8,367	12,257
6976.T	JP3452000007	TAIYO YUDEN CO LTD	25	0	1,144	7,150	127,568	1,833	0,901	-2,031	-0,199
6724.T	JP3414750004	SEIKO EPSON CORP	82	0	6,778	4,993	14,723	3,165	0,122	9,441	12,606
9256.T	JP3316900004	SUCCEED CO LTD	74	0	13,185	8,483	11,289	1,905	0,549	-11,852	-9,947
4761.T	JP3317500001	SAKURA KCS CORP	76	0	-1,112	3,488	12,490	1,970	0,580	8,744	10,715
1826.T	JP3319600007	SATA CONSTRUCTION CO LTD	72	0	-2,223	2,058	30,821	4,188	0,624	20,684	24,873
2501.T	JP3320800000	SAPPORO HOLDINGS LTD	2	0	2,815	0,738	169,186	1,023	0,299	33,173	34,197
6287.T	JP3321400008	SATO HOLDINGS CORP	92	0	6,594	5,039	9,937	3,215	0,690	2,111	5,326
8050.T	JP3414700009	SEIKO HOLDINGS CORP	40	0	5,171	3,074	17,271	2,228	0,973	38,392	40,621
2814.T	JP3322100003	SATO FOODS INDUSTRIES CO LTD	32	0	8,630	9,228	17,520	1,999	0,690	15,367	17,366
7022.T	JP3322810007	SANOYAS HOLDINGS CORP	63	0	-13,212	-0,894	7,466	3,530	0,724	10,273	13,803
4559.T	JP3428850006	ZERIA PHARMACEUTICAL CO LTD	57	0	8,896	9,019	12,905	1,880	0,043	1,489	3,369
3141.T	JP3274280001	WELCIA HOLDINGS CO LTD	15	0	8,335	2,172	30,170	1,107	0,847	-8,430	-7,322
4880.T	JP3423580004	CELLSOURCE CO LTD	20	0	12,141	17,326	48,109	0,060	0,001	-27,384	-27,324
6457.T	JP3274400005	GLORY LTD	78	0	12,259	3,603	18,894	3,247	0,778	10,386	13,633
6155.T	JP3457850000	TAKAMATSU MACHINERY CO LTD	61	0	-8,563	-0,052		1,917	0,381	-6,399	-4,482
3002.T	JP3275200008	GUNZE LTD	75	0	1,170	3,255	38,557	3,642	0,819	14,204	17,846
1994.T	JP3457800005	TAKAHASHI CURTAIN WALL CORP	73	0	-9,691	7,142	62,168	3,914	0,331	-0,158	3,756
7776.T	JP3423530009	CELLSEED INC	8	0	-24,443	-478,137		0,000	0,423	7,704	7,704
4189.T	JP3277040006	KH NEOCHEM CO LTD	81	0	4,959	7,654	11,112	3,098	0,700	2,226	5,324
4204.T	JP3419400001	SEKISUI CHEMICAL CO LTD	77	0	4,783	5,256	16,158	2,924	0,784	10,576	13,500
2408.T	JP3277130005	KG INTELLIGENCE CO LTD	42	0	-0,219	5,447	19,744	4,732	0,787	18,303	23,035
8282.T	JP3277150003	K'S HOLDINGS CORP	82	0	6,934	2,821	22,826	3,234	0,746	3,072	6,306
2782.T	JP3423520000	SERIA CO LTD	44	0	5,591	5,582	20,561	2,335	0,725	-5,466	-3,131
6199.T	JP3423510001	SERAKU CO LTD	56	0	14,206	6,568	12,635	0,562	0,600	-3,956	-3,394
9008.T	JP3277800003	KEIO CORP	32	0	1,029	3,469	11,404	1,097	0,535	-8,894	-7,797
